Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-613.7113	-760.0292	146.3179	0.0279784	0.000127749	0.00158358	0.0105846	0.0540927	0.00531071	0.00679862	0.0011766	0.00817504	0.00719369	0.00105705	0.0154443	0.0248104	0.00446823	0.000598058	0.00684761	0.00895356	0.00341409	3.11244e-05	0.00822834	0.0271654	0.00788572	0.00662618	0.00966241	0.00648523	0.00891242	0.000862563	0.000778546	0.00230119	0.00377983	0.00638141	0.00247888	0.00640252	0.00995422	0.00125258	0.0232154	0.00818234	0.00781891	0.00744242	0.00279307	0.00857861	0.00164387	0.00901442	0.00816032	0.0274814	0.0196475	0.00957608	0.0108042	0.000729769	0.0607795	0.0126226	0.00626342	0.0504004	0.000525652	0.0170558	0.00302811	0.0186477	0.00554128	0.00369454	0.0362213	0.0293537	0.00492045	0.00012107	0.0178403	0.0240045	0.00809224	0.0228252	0.0023117	0.00111544	0.00909686	0.0112242	0.0158318	0.00176641	0.0232084	0.0201638	0.0174151	0.00374426	0.00319611	0.0073896	0.00405425	0.00402991	0.0119412	0.000448456	0.0169863	0.0107373	0.0036093	0.00457003	0.5589605	1.441039	0.08344	0.297818	0.685303	1.45921	3.35775	11.9847	1.795834	2.57807	0.0298382	0.000136241	0.00168884	0.0112882	0.0576884	0.00566373	0.00725055	0.00125481	0.00871846	0.00767188	0.00112732	0.0164709	0.0264596	0.00476524	0.000637813	0.00730279	0.00954874	0.00364104	3.31934e-05	0.0087753	0.0289712	0.00840991	0.00706664	0.0103047	0.00691632	0.00950486	0.0009199	0.000830299	0.00245416	0.00403108	0.00680561	0.00264366	0.00682812	0.0106159	0.00133584	0.0247586	0.00872625	0.00833866	0.00793714	0.00297874	0.00914886	0.00175314	0.00961364	0.00870277	0.0293081	0.0209536	0.0102126	0.0115224	0.000778279	0.0648197	0.0134616	0.00667977	0.0537507	0.000560593	0.0181895	0.0032294	0.0198873	0.00590963	0.00394013	0.0386291	0.0313049	0.00524752	0.000129118	0.0190262	0.0256002	0.00863015	0.0243425	0.00246537	0.00118959	0.00970156	0.0119703	0.0168841	0.00188383	0.0247512	0.0215041	0.0185728	0.00399315	0.00340856	0.00788081	0.00432375	0.0042978	0.0127349	0.000478267	0.0181154	0.011451	0.00384923	0.00487382	0.72052	0.27948	0.9376699
36	-593.5793	-739.5447	145.9654	0.0372463	7.43723e-05	0.000482256	0.0106969	0.0340721	0.0178817	0.000656943	0.00356302	0.00430225	0.00351096	0.0106143	0.0121465	0.006071	0.00311127	0.000714681	0.0010884	0.00753053	0.00169968	0.00326914	0.00933627	0.0545707	0.00511703	0.00172337	0.000863104	0.00544002	0.0018832	0.000877105	0.00308844	6.19902e-05	0.0100261	0.00236296	0.0161845	0.00300814	0.00510007	0.00173083	0.0165212	0.010692	0.00983659	0.0181452	0.0040884	0.00214052	0.000486987	0.00719738	0.0250058	0.0208202	0.0156288	0.00527674	0.000189356	0.000578894	0.0297357	0.017478	0.00407056	0.0224675	0.000469869	0.00121388	0.00362398	0.0219639	0.00518225	0.00202738	0.0166379	0.00604439	0.000347706	9.54837e-05	0.00635142	0.0189316	0.0315081	0.0132158	0.000104684	0.00266195	0.000211563	0.00368133	0.012486	0.00412268	0.0468568	0.0193759	0.00924387	0.00254318	0.00430677	0.00192498	0.00382338	0.00114122	0.00269856	0.00539374	0.00430489	0.000702007	0.00545577	0.00429805	0.4941091	1.505891	0.055732	0.244609	0.644488	1.55162	4.08816	17.943	2.087645	3.047689	0.0494365	9.87134e-05	0.000640092	0.0141978	0.0452235	0.0237342	0.000871951	0.00472915	0.00571032	0.00466004	0.0140882	0.0161219	0.00805796	0.00412955	0.000948586	0.00144461	0.00999517	0.00225596	0.00433908	0.0123919	0.0724309	0.00679176	0.00228741	0.00114559	0.00722046	0.00249954	0.00116417	0.00409924	8.22788e-05	0.0133075	0.00313633	0.0214815	0.00399267	0.00676926	0.0022973	0.0219284	0.0141914	0.013056	0.0240839	0.00542648	0.00284109	0.000646372	0.00955298	0.0331898	0.0276344	0.0207439	0.00700375	0.00025133	0.000768358	0.0394677	0.0231983	0.0054028	0.0298208	0.000623651	0.00161117	0.00481006	0.0291524	0.00687833	0.00269092	0.0220832	0.00802264	0.000461506	0.000126734	0.00843015	0.0251276	0.0418203	0.0175411	0.000138946	0.00353316	0.000280804	0.00488618	0.0165725	0.00547197	0.0621925	0.0257174	0.0122693	0.00337553	0.00571632	0.002555	0.00507472	0.00151473	0.00358176	0.00715904	0.00571382	0.000931765	0.00724137	0.00570474	0.752945	0.247055	0.7534168
72	-581.1029	-726.4195	145.3166	0.176426	0.00253849	0.00140665	0.0632235	0.0593779	0.011216	0.0318565	0.0115463	0.0235562	0.0210465	0.0153103	0.00156427	0.0236593	0.031141	0.00955343	0.0155685	0.0127771	0.00157344	0.000705358	0.0128588	0.0427521	0.0103522	0.0209178	0.0262513	0.0235978	0.00176929	0.025357	0.0046311	0.0103741	0.0186982	0.0112628	0.00607352	0.0210528	0.0225699	0.0171969	0.0376252	0.0140763	0.0104821	0.00821719	0.00859184	0.00335218	0.0037262	0.00317912	0.010243	0.064777	0.00794634	0.0105508	0.0121999	0.0398734	0.0527976	0.0607726	0.0130257	0.0142289	0.00520878	0.00232647	0.00408	0.0237449	0.0551683	0.0253383	0.0229319	0.0196326	4.36146e-05	0.00357504	0.0624272	0.00276311	0.0262104	0.116976	0.0550459	0.0629776	0.0247721	0.0797163	0.022039	0.0599821	0.0150436	0.0432275	0.00104153	0.00113574	0.0261902	0.00820815	0.00297523	0.0251297	0.00306087	0.00129657	0.0155281	0.0422047	0.00784638	0.0351932	0.5614675	1.438532	0.15795	0.406552	0.755182	1.32418	2.45971	6.3311	1.334405	2.562094	0.0852932	0.00122723	0.000680045	0.0305653	0.0287062	0.00542236	0.015401	0.00558203	0.0113882	0.0101749	0.00740176	0.000756245	0.0114381	0.0150551	0.0046186	0.0075266	0.00617709	0.00076068	0.000341005	0.00621659	0.0206685	0.00500476	0.0101127	0.0126912	0.0114083	0.000855363	0.0122588	0.0022389	0.00501533	0.00903961	0.00544498	0.00293624	0.010178	0.0109114	0.00831384	0.0181899	0.00680518	0.00506755	0.00397259	0.00415372	0.00162061	0.00180143	0.00153694	0.00495197	0.0313164	0.00384165	0.00510076	0.00589803	0.0192768	0.025525	0.0293805	0.00629728	0.00687896	0.00251818	0.00112473	0.00197247	0.0114795	0.0266711	0.0122498	0.0110864	0.00949138	2.10855e-05	0.00172835	0.0301804	0.00133582	0.0126714	0.0565521	0.0266119	0.0304465	0.011976	0.0385388	0.0106548	0.0289983	0.00727282	0.0208983	0.000503527	0.000549073	0.0126616	0.00396822	0.00143837	0.0121489	0.00147978	0.000626828	0.00750704	0.0204038	0.00379333	0.0170141	0.719266	0.280734	2.06847
108	-597.5827	-740.9831	143.4004	0.266463	0.00514225	0.00645421	0.22829	0.0520441	0.0325874	0.0246046	0.0159694	0.0395335	0.0273238	0.0105605	0.000309929	0.0417808	0.0327098	0.0163933	0.0187886	0.021925	0.019609	0.0111373	0.0157926	0.0322199	0.0313009	0.00126229	0.0343515	0.0173907	0.0139579	0.0201762	0.00397235	0.0578574	0.0446364	0.00433755	0.00350017	0.0586973	0.0181645	0.00058857	0.0686367	0.0372232	0.0241527	0.0810164	0.0158167	0.00703473	0.00113365	1.76357e-05	0.0201995	0.109462	0.0216173	0.0122194	0.0339295	0.0229742	0.0513173	0.104283	0.0281736	0.0188087	0.039636	0.00689012	0.00914106	0.00329452	0.109694	0.0424607	0.00655102	0.0336888	0.00212269	0.00613462	0.107122	0.0160123	0.0114905	0.223568	0.0949438	0.0158798	0.010145	0.102373	0.0533414	0.101003	0.0103426	0.0145888	0.0985205	0.00106926	0.0186593	0.000883653	0.00420052	0.0105479	0.00569525	0.0114156	0.0468464	0.0224975	0.0062366	0.0723664	0.4600802	1.53992	0.226831	0.485036	0.797935	1.25324	2.0617	4.40857	1.07271	3.347068	0.0830824	0.00160334	0.0020124	0.0711803	0.0162272	0.0101607	0.00767164	0.00497922	0.0123264	0.00851947	0.00329272	9.66349e-05	0.0130271	0.0101988	0.00511138	0.00585823	0.00683615	0.00611404	0.00347258	0.0049241	0.0100461	0.00975954	0.00039358	0.0107107	0.00542238	0.00435204	0.00629088	0.00123857	0.0180398	0.0139175	0.00135244	0.00109134	0.0183016	0.00566365	0.000183514	0.0214007	0.0116061	0.00753075	0.0252607	0.0049316	0.00219341	0.000353468	5.49875e-06	0.00629815	0.0341298	0.00674021	0.00380997	0.0105791	0.00716329	0.0160006	0.0325152	0.00878445	0.0058645	0.0123584	0.00214832	0.00285016	0.00102722	0.0342024	0.0132391	0.00204259	0.0105041	0.000661849	0.00191276	0.0334005	0.0049926	0.00358269	0.069708	0.0296032	0.00495128	0.00316317	0.0319197	0.0166317	0.0314926	0.00322478	0.00454876	0.0307184	0.000333393	0.00581791	0.00027552	0.00130971	0.00328882	0.00177576	0.00355936	0.0146066	0.00701464	0.00194455	0.0225636	0.76996	0.23004	3.207213
144	-597.9318	-741.9373	144.0055	0.209797	0.002804	0.00052449	0.0783452	0.0638389	0.0907522	0.0164387	0.0155592	0.0331856	0.0117869	0.00333289	0.00369933	0.0699979	0.0145198	0.0402527	0.035116	0.0465797	0.0111423	0.0238815	0.0648519	0.0680904	0.0158651	0.00727454	0.00025092	0.0195845	0.0134326	0.042769	0.00752068	0.00310682	0.00570926	0.00888434	0.0097857	0.0225786	0.0660768	0.014138	0.0536902	0.0504845	0.00847024	0.0534305	0.0759301	0.00361752	0.0283376	0.00172449	0.0486571	0.0847301	0.195183	0.0114517	0.0317505	0.00240146	0.0111436	0.0162244	0.0144294	0.107465	0.115553	0.0317276	0.00411751	0.0585129	0.094607	0.0292553	0.00447285	0.0137021	0.0663175	0.0447574	0.003065	0.00469732	0.0908793	0.0173767	0.00040133	0.00858135	0.00488913	0.00541543	0.0419888	0.00479174	0.081726	0.0207531	0.0176131	0.00758388	0.0504986	0.0216098	0.0090435	0.0147758	0.0183365	0.0292447	0.0107441	0.0123204	0.026843	0.00223624	0.4712284	1.528772	0.248464	0.507071	0.809071	1.23598	1.97211	4.02472	1.006841	3.244227	0.0721191	0.000963894	0.000180297	0.0269317	0.0219451	0.0311967	0.00565091	0.00534857	0.0114078	0.00405182	0.0011457	0.00127167	0.0240623	0.00499127	0.0138371	0.0120714	0.0160121	0.00383024	0.00820942	0.0222933	0.0234066	0.00545374	0.00250067	8.62553e-05	0.00673231	0.00461754	0.0147021	0.00258528	0.00106799	0.0019626	0.00305405	0.0033639	0.00776154	0.0227144	0.00486004	0.0184564	0.0173544	0.0029117	0.0183671	0.0261015	0.00124355	0.00974124	0.000592804	0.0167262	0.0291266	0.0670955	0.0039366	0.0109144	0.00082552	0.00383068	0.00557724	0.00496022	0.0369419	0.0397221	0.0109066	0.00141542	0.0201142	0.0325218	0.0100567	0.00153757	0.00471021	0.0227971	0.0153857	0.00105361	0.00161474	0.0312404	0.00597335	0.00013796	0.0029499	0.00168067	0.00186159	0.0144339	0.00164719	0.0280939	0.00713402	0.00605463	0.00260701	0.0173592	0.0074285	0.00310876	0.00507927	0.00630331	0.0100531	0.00369337	0.00423523	0.00922746	0.000768723	0.764386	0.235614	2.909033
180	-603.4736	-748.4887	145.0151	0.0366361	0.000656911	0.000623199	0.0291044	0.000606661	0.00739618	0.00353201	0.00579728	0.0064415	0.00259232	0.00292895	0.000226791	0.00364749	0.00253669	0.00245949	0.00309915	0.0122037	0.00203933	0.00236967	0.0063285	0.00788742	0.000911227	0.00432028	1.72971e-05	0.00200816	0.00160662	0.00502191	0.000834336	0.000763164	0.00901903	0.00341454	0.00021622	0.00643751	0.00145335	0.00193231	0.0113084	0.0022564	0.00922262	0.00485134	0.0072807	0.000533247	0.00111033	1.04648e-05	0.00441368	0.0175399	0.00539455	0.00428959	0.00153517	0.00348508	0.00249346	0.0105286	0.0263959	0.00261634	0.000290347	0.0108826	0.00024493	0.00403557	0.00322415	0.0043288	0.00480231	0.00750672	0.00411177	0.000117236	0.00734088	0.00182142	0.00585366	0.0230204	0.00598562	0.00783764	0.00199491	0.0127175	0.00973895	0.0124913	0.00482484	0.00678723	0.00514028	0.00189586	0.0112106	0.0029803	0.000597653	0.00590749	0.00340055	0.000211506	0.0181279	0.0161816	0.000115036	0.00631808	0.2560334	1.743967	0.0607265	0.255065	0.652959	1.53149	3.92057	16.4673	2.025588	6.811482	0.0726357	0.00130241	0.00123557	0.0577033	0.00120278	0.0146639	0.00700266	0.0114938	0.0127711	0.00513961	0.00580702	0.000449642	0.00723162	0.00502931	0.00487626	0.00614445	0.0241953	0.00404323	0.00469818	0.0125471	0.0156378	0.00180663	0.0085655	3.42937e-05	0.00398144	0.00318533	0.00995658	0.00165418	0.00151307	0.0178814	0.00676977	0.000428684	0.0127632	0.00288146	0.00383105	0.0224204	0.0044736	0.018285	0.0096184	0.0144349	0.00105723	0.00220138	2.07479e-05	0.00875068	0.034775	0.0106954	0.00850467	0.00304367	0.00690962	0.0049436	0.0208742	0.0523332	0.00518723	0.00057565	0.0215762	0.000485606	0.00800104	0.00639229	0.0085824	0.0095212	0.014883	0.00815211	0.000232436	0.0145542	0.00361119	0.0116056	0.0456409	0.0118673	0.0155391	0.00395517	0.025214	0.0193087	0.0247657	0.00956587	0.0134565	0.0101913	0.00375879	0.0222264	0.00590883	0.00118492	0.0117124	0.00674202	0.000419338	0.0359408	0.0320821	0.000228073	0.0125264	0.871983	0.128017	0.504381
216	-597.348	-743.0547	145.7068	0.184561	0.00265945	0.00236291	0.0585271	0.0280495	0.0276792	0.0162328	0.00995389	0.00929303	0.000796424	0.00434785	0.0311701	0.077062	0.00728363	0.0073478	0.0324451	0.00398933	0.00597571	0.025192	0.0111208	0.0269309	0.0199895	0.00119255	0.0098385	0.00802961	0.00494937	0.0115226	0.000828572	0.0268953	0.00846226	0.0018604	0.0115382	0.00861017	0.00535421	0.0139007	0.0402786	0.0395093	0.0520574	0.00583272	0.0132163	0.013264	0.00474415	0.000599389	0.0154959	0.0393909	0.0615591	0.00847396	0.0241034	0.00398153	0.00501704	0.0232984	0.0235587	0.0408398	0.125982	0.0561155	0.00714195	0.00611758	0.0344865	0.00923019	0.00420173	0.0492209	0.0357406	0.00516545	0.00119877	0.00532354	0.064102	0.0154505	0.0150509	0.00303879	0.000457628	0.00557771	0.00905143	0.00618027	0.00971449	0.0102063	0.0112697	0.0227132	0.00421317	0.01041	0.00506296	0.00751227	0.0161651	0.0151216	0.00958096	0.0113659	0.0299873	0.00110756	0.6179117	1.382088	0.111321	0.342779	0.716033	1.39658	2.91733	8.98301	1.587378	2.236709	0.1058	0.00152453	0.00135454	0.0335507	0.0160794	0.0158671	0.00930547	0.00570607	0.00532724	0.00045655	0.0024924	0.0178683	0.0441759	0.00417534	0.00421213	0.0185992	0.00228689	0.00342558	0.0144413	0.00637502	0.0154382	0.011459	0.000683629	0.00563993	0.00460298	0.00283723	0.00660531	0.00047498	0.0154178	0.004851	0.00106648	0.00661427	0.00493578	0.00306931	0.00796859	0.0230897	0.0226487	0.0298419	0.00334361	0.00757628	0.00760362	0.00271959	0.0003436	0.00888303	0.0225808	0.0352888	0.0048577	0.0138173	0.00228241	0.00287602	0.0133558	0.013505	0.0234115	0.0722194	0.0321683	0.00409413	0.00350691	0.0197694	0.00529121	0.00240864	0.0282159	0.0204883	0.0029611	0.000687198	0.00305172	0.0367465	0.00885703	0.00862797	0.00174199	0.000262336	0.00319743	0.00518874	0.00354284	0.00556884	0.00585075	0.00646034	0.0130204	0.0024152	0.00596751	0.00290234	0.00430641	0.00926663	0.00866846	0.00549229	0.00651549	0.0171903	0.000634908	0.691044	0.308956	1.744438
252	-590.3825	-734.5112	144.1287	0.254381	0.00199118	0.00168787	0.048484	0.0380958	0.0414191	0.0158151	0.00280152	0.0205018	0.00639738	0.0155044	0.0172939	0.0329547	0.00909028	0.00136889	0.0759755	0.00365862	0.0117237	0.00979644	0.0122713	0.0413654	0.00854688	0.0172484	0.0241729	0.0317174	0.00412628	0.0231884	0.00903871	0.0409046	0.00425068	0.0110234	0.00970203	0.00706925	0.0462287	0.0103188	0.0713797	0.0746903	0.071751	0.0314247	0.037486	0.0187316	0.0107756	0.00168387	0.0446293	0.172834	0.113102	0.00245817	0.0267627	0.00396632	0.0144976	0.0693227	0.0317386	0.0600534	0.144707	0.0178335	0.0680243	0.0186074	0.0848422	0.00125046	0.00175708	0.0366761	0.00147867	0.00512236	0.0023641	0.000994264	0.146622	0.020008	0.0550973	0.00727945	0.000630751	0.0169506	0.0148916	0.0196136	0.0236005	0.00765483	0.0243279	0.020598	0.01126	0.0264328	0.00660117	0.00877342	0.000588544	0.0247456	0.0397435	0.0497202	0.0413317	0.0137729	0.4488191	1.551181	0.220349	0.478227	0.794423	1.25878	2.09106	4.53825	1.093672	3.456138	0.0931353	0.000729021	0.000617972	0.0177512	0.0139478	0.0151646	0.00579033	0.00102571	0.00750621	0.00234224	0.00567656	0.00633174	0.0120655	0.00332818	0.000501185	0.0278166	0.00133951	0.00429235	0.00358673	0.00449283	0.0151449	0.00312923	0.00631509	0.00885033	0.0116125	0.00151074	0.00848985	0.0033093	0.0149762	0.00155628	0.00403594	0.00355216	0.00258823	0.0169255	0.00377797	0.0261339	0.027346	0.0262699	0.0115054	0.0137246	0.00685812	0.00394522	0.000616509	0.0163399	0.063279	0.0414095	0.000899997	0.00979849	0.00145217	0.00530795	0.0253808	0.0116203	0.0219871	0.052981	0.0065293	0.0249054	0.00681263	0.0310629	0.000457826	0.000643313	0.0134281	0.000541377	0.00187543	0.000865558	0.000364026	0.053682	0.00732544	0.0201725	0.00266519	0.000230934	0.00620605	0.00545221	0.00718103	0.00864076	0.00280263	0.00890705	0.00754147	0.00412256	0.00967774	0.00241686	0.00321217	0.000215481	0.00906	0.0145511	0.0182038	0.0151326	0.00504261	0.77559	0.22441	2.731304
288	-585.9284	-731.0246	145.0962	0.0985593	0.000573697	0.00116157	0.0823827	0.00490552	0.017314	0.0147966	0.00237634	0.0198098	0.0120921	0.00813832	0.0118106	0.037588	0.0022626	0.0132079	0.0186849	0.00248293	0.0100799	0.00797088	0.0401881	0.0518755	0.00963819	0.00574252	0.00566834	0.00571511	0.00406644	0.00957375	0.00618407	0.00422672	0.0100265	0.0204905	0.00850292	0.00285069	0.010371	0.0109636	0.0301314	0.0434135	0.042636	0.00305822	0.0245121	0.0042089	0.023716	0.0014274	0.0451738	0.0673439	0.0300907	0.000948172	0.019072	0.00616203	0.00461112	0.0397194	0.0212224	0.0464797	0.0149379	0.022965	0.0526515	0.0115049	0.0583875	0.000159249	0.000400437	0.0128077	0.00275187	0.0344773	0.000653021	0.00780565	0.188334	0.0133099	0.0229867	0.0373427	0.00259482	0.0109902	0.037314	0.0342051	0.0327859	0.0241258	0.0351082	0.00758999	0.012203	0.0319524	0.0159069	0.00265799	0.00114671	0.0103967	0.0101482	0.0105456	0.0101005	0.00818113	0.4432035	1.556796	0.118464	0.353335	0.722841	1.38343	2.83018	8.44135	1.542409	3.5126	0.0545842	0.000317726	0.000643303	0.0456253	0.00271678	0.00958888	0.00819469	0.00131607	0.0109711	0.00669686	0.00450718	0.00654094	0.020817	0.00125308	0.00731484	0.0103481	0.0013751	0.00558246	0.00441444	0.022257	0.0287297	0.00533783	0.00318033	0.00313925	0.00316515	0.00225208	0.00530214	0.00342487	0.00234085	0.00555291	0.011348	0.0047091	0.00157877	0.00574366	0.00607185	0.0166874	0.0240433	0.0236127	0.00169371	0.0135753	0.00233098	0.0131344	0.000790524	0.0250182	0.0372965	0.0166648	0.000525117	0.0105625	0.00341266	0.00255374	0.0219975	0.0117534	0.0257415	0.00827294	0.0127185	0.0291595	0.00637166	0.0323362	8.81955e-05	0.00022177	0.00709318	0.00152404	0.0190943	0.000361657	0.00432293	0.104303	0.00737128	0.0127305	0.0206812	0.00143707	0.00608661	0.0206653	0.0189435	0.0181575	0.0133614	0.0194437	0.00420349	0.00675828	0.0176959	0.00880958	0.00147205	0.000635071	0.00575792	0.00562029	0.0058404	0.00559387	0.00453088	0.778398	0.221602	1.805637
324	-605.4849	-750.4519	144.9671	0.0431522	0.000345996	0.00255012	0.0610871	0.0108626	0.0257067	0.0188956	0.00587134	0.00361764	0.00670796	0.00879402	0.0142231	0.0313339	0.00121998	0.00389937	0.00979266	0.00010986	0.00502985	0.00676902	0.0358981	0.0233348	0.00435547	0.00338818	0.00973631	0.00557255	0.00945594	0.0108099	0.00716475	0.00438793	0.00419028	0.00676752	0.0127203	0.00234039	0.00593837	0.0151088	0.0456709	0.0321913	0.0490303	0.00473604	0.0158988	0.00395363	0.0197116	0.00549999	0.061455	0.0536887	0.027198	0.00049471	0.0104539	0.0220051	0.00279597	0.0208641	0.00592974	0.0153669	0.057449	0.00890459	0.0426878	0.000228007	0.017762	0.000457177	0.00609752	0.024779	0.000776132	0.0254193	0.000226896	0.00461564	0.0980835	0.00986931	0.0184393	0.00479971	0.00868148	0.0124247	0.0301319	0.0180079	0.014828	0.00877231	0.0198681	0.00725345	0.0182902	0.0141838	0.0559809	0.0017429	0.00100844	0.0162891	0.00752493	0.00909356	0.00362178	0.00574584	0.2891903	1.71081	0.122276	0.358835	0.726332	1.37678	2.7868	8.17819	1.519508	5.915861	0.0309973	0.000248537	0.00183182	0.0438804	0.00780288	0.0184658	0.0135732	0.00421753	0.00259864	0.00481849	0.00631696	0.0102168	0.0225079	0.000876344	0.00280102	0.00703431	7.89155e-05	0.00361306	0.00486236	0.0257865	0.016762	0.00312864	0.00243381	0.00699384	0.0040029	0.00679244	0.007765	0.00514662	0.00315196	0.00300998	0.00486128	0.00913728	0.00168116	0.00426568	0.010853	0.0328066	0.0231238	0.0352197	0.00340202	0.0114205	0.00283999	0.0141593	0.00395078	0.0441446	0.038566	0.019537	0.000355362	0.00750928	0.0158068	0.00200842	0.0149872	0.00425948	0.0110384	0.041267	0.00639639	0.0306637	0.000163783	0.0127589	0.000328402	0.00438	0.0177994	0.000557515	0.0182593	0.000162985	0.00331553	0.0704558	0.00708937	0.0132454	0.00344775	0.00623613	0.00892497	0.0216445	0.0129355	0.0106513	0.00630137	0.0142718	0.00521033	0.0131383	0.0101886	0.0402125	0.00125197	0.000724385	0.0117009	0.00540535	0.00653213	0.00260161	0.00412738	0.855405	0.144595	1.392128
